"target"	"target_word"	"mispronunciation"	"age"	"target_ortho"	"target_phono"	"tokid"	"meaningful"
"o"	"dimope"	NA	5.19480519480519	"dimope"	"ṭimɔpɛ"	"dimope 15"	FALSE
"p"	"dimope"	NA	5.19480519480519	"dimope"	"ṭimɔpɛ"	"dimope 15"	FALSE
"e"	"dimope"	NA	5.19480519480519	"dimope"	"ṭimɔpɛ"	"dimope 15"	FALSE
"d"	"dimope"	NA	8	"dimope"	"ṭimɔpɛ"	"dimope 16"	FALSE
"i"	"dimope"	NA	8	"dimope"	"ṭimɔpɛ"	"dimope 16"	FALSE
"m"	"dimope"	NA	8	"dimope"	"ṭimɔpɛ"	"dimope 16"	FALSE
"o"	"dimope"	NA	8	"dimope"	"ṭimɔpɛ"	"dimope 16"	FALSE
"p"	"dimope"	NA	8	"dimope"	"ṭimɔpɛ"	"dimope 16"	FALSE
"e"	"dimope"	NA	8	"dimope"	"ṭimɔpɛ"	"dimope 16"	FALSE
"m"	"dimope"	"kemope"	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 10"	TRUE
"o"	"dimope"	"kemope"	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 10"	TRUE
"p"	"dimope"	"kemope"	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 10"	TRUE
"e"	"dimope"	"kemope"	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 10"	TRUE
"i"	"dimope"	"timope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 1"	TRUE
"m"	"dimope"	"timope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 1"	TRUE
"o"	"dimope"	"timope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 1"	TRUE
"p"	"dimope"	"timope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 1"	TRUE
"e"	"dimope"	"timope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 1"	TRUE
"d"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 24"	FALSE
"i"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 24"	FALSE
"m"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 24"	FALSE
"o"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 24"	FALSE
"p"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 24"	FALSE
"e"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 24"	FALSE
"d"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 6"	FALSE
"i"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 6"	FALSE
"m"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 6"	FALSE
"o"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 6"	FALSE
"p"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 6"	FALSE
"e"	"dimope"	NA	6.37047163362953	"dimope"	"ṭimɔpɛ"	"dimope 6"	FALSE
"d"	"dimope"	NA	10.1982228298018	"dimope"	"ṭimɔpɛ"	"dimope 21"	FALSE
"i"	"dimope"	NA	10.1982228298018	"dimope"	"ṭimɔpɛ"	"dimope 21"	FALSE
"m"	"dimope"	NA	10.1982228298018	"dimope"	"ṭimɔpɛ"	"dimope 21"	FALSE
"o"	"dimope"	NA	10.1982228298018	"dimope"	"ṭimɔpɛ"	"dimope 21"	FALSE
"p"	"dimope"	NA	10.1982228298018	"dimope"	"ṭimɔpɛ"	"dimope 21"	FALSE
"e"	"dimope"	NA	10.1982228298018	"dimope"	"ṭimɔpɛ"	"dimope 21"	FALSE
"d"	"dimope"	NA	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 22"	FALSE
"i"	"dimope"	NA	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 22"	FALSE
"m"	"dimope"	NA	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 22"	FALSE
"o"	"dimope"	NA	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 22"	FALSE
"p"	"dimope"	NA	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 22"	FALSE
"e"	"dimope"	NA	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 22"	FALSE
"d"	"dipońate"	NA	6.76965140123035	"dipońate"	"ṭipɔnætɛ"	"diponate 29"	FALSE
"i"	"dipońate"	NA	6.76965140123035	"dipońate"	"ṭipɔnætɛ"	"diponate 29"	FALSE
"p"	"dipońate"	NA	6.76965140123035	"dipońate"	"ṭipɔnætɛ"	"diponate 29"	FALSE
"o"	"dipońate"	NA	6.76965140123035	"dipońate"	"ṭipɔnætɛ"	"diponate 29"	FALSE
"'n"	"dipońate"	NA	6.76965140123035	"dipońate"	"ṭipɔnætɛ"	"diponate 29"	FALSE
"a"	"dipońate"	NA	6.76965140123035	"dipońate"	"ṭipɔnætɛ"	"diponate 29"	FALSE
"ch"	"dipońate"	NA	6.76965140123035	"dipońate"	"ṭipɔnætɛ"	"diponate 29"	FALSE
"e"	"dipońate"	NA	6.76965140123035	"dipońate"	"ṭipɔnætɛ"	"diponate 29"	FALSE
"d"	"dipońate"	NA	9.52563226247437	"dipońate"	"ṭipɔnætɛ"	"diponate 7"	FALSE
"i"	"dipońate"	NA	9.52563226247437	"dipońate"	"ṭipɔnætɛ"	"diponate 7"	FALSE
"p"	"dipońate"	NA	9.52563226247437	"dipońate"	"ṭipɔnætɛ"	"diponate 7"	FALSE
"o"	"dipońate"	NA	9.52563226247437	"dipońate"	"ṭipɔnætɛ"	"diponate 7"	FALSE
