"target"	"realization"	"target_word"	"mispronunciation"	"age"	"target_ortho"	"target_phono"	"tokid"
"dp"	"p"	"/a"	"pa"	6.76965140123035	"dpa"	"ṭpæ"	"dpa 20"
"dp"	"p"	"/a"	"pa"	7.60628844839371	"dpa"	"ṭpæ"	"dpa 36"
"dp"	"tp"	"/a"	":a"	9.09911141490089	"dpa"	"ṭpæ"	"dpa 48"
"dp"	"p"	"/a"	"pa"	6.32399179767601	"dpa"	"ṭpæ"	"dpa 51"
"dp"	"p"	"/a"	"pa"	9.09911141490089	"dpa"	"ṭpæ"	"dpa 38"
"dp"	"p"	"/a"	"pa"	4.97881066302119	"dpa"	"ṭpæ"	"dpa 37"
"dp"	"ch"	"/a"	"ta"	11.0321257689679	"dpa"	"ṭpæ"	"dpa 55"
"dp"	"tp"	"/a"	":a"	8	"dpa"	"ṭpæ"	"dpa 39"
"dp"	"p"	"/a"	"pa"	5.7799043062201	"dpa"	"ṭpæ"	"dpa 14"
"dp"	"ch"	"/a"	"te"	5.24128503075871	"dpa"	"ṭpæ"	"dpa 1"
"a"	"e"	"/a"	"te"	5.24128503075871	"dpa"	"ṭpæ"	"dpa 1"
"dp"	"tp"	"/a"	":a"	6.88448393711552	"dpa"	"ṭpæ"	"dpa 49"
"dp"	"tp"	"/a"	":a"	8.6015037593985	"dpa"	"ṭpæ"	"dpa 47"
"dp"	"ch"	"/a"	"tata"	5.52836637047163	"dpa"	"ṭpæ"	"dpa 9"
"dp"	"ch"	"/a"	"tO"	5.24128503075871	"dpa"	"ṭpæ"	"dpa 26"
"a"	"ó"	"/a"	"tO"	5.24128503075871	"dpa"	"ṭpæ"	"dpa 26"
"dp"	"p"	"/a"	"pa"	5.27136021872864	"dpa"	"ṭpæ"	"dpa 12"
"dp"	"p"	"/0"	"pa"	7.47505126452495	"dpâ"	"ṭpɑ"	"dpa2 20"
"â"	"a"	"/0"	"pa"	7.47505126452495	"dpâ"	"ṭpɑ"	"dpa2 20"
"dp"	"ch"	"/0"	"t5"	7.94258373205742	"dpâ"	"ṭpɑ"	"dpa2 29"
"â"	":â"	"/0"	"t5"	7.94258373205742	"dpâ"	"ṭpɑ"	"dpa2 29"
"dp"	"d"	"/0"	"d8"	3.91797676008202	"dpâ"	"ṭpɑ"	"dpa2 18"
"â"	"î"	"/0"	"d8"	3.91797676008202	"dpâ"	"ṭpɑ"	"dpa2 18"
"dp"	"p"	"/0"	"pa"	6.32399179767601	"dpâ"	"ṭpɑ"	"dpa2 8"
"â"	"a"	"/0"	"pa"	6.32399179767601	"dpâ"	"ṭpɑ"	"dpa2 8"
"dp"	"p"	"/0"	"pa"	7.20710868079289	"dpâ"	"ṭpɑ"	"dpa2 10"
"â"	"a"	"/0"	"pa"	7.20710868079289	"dpâ"	"ṭpɑ"	"dpa2 10"
"dp"	"ch"	"/0"	"t5"	8.03280929596719	"dpâ"	"ṭpɑ"	"dpa2 25"
"â"	":â"	"/0"	"t5"	8.03280929596719	"dpâ"	"ṭpɑ"	"dpa2 25"
"dp"	"ch"	"/0"	"t3"	10.1982228298018	"dpâ"	"ṭpɑ"	"dpa2 7"
"â"	":a"	"/0"	"t3"	10.1982228298018	"dpâ"	"ṭpɑ"	"dpa2 7"
"dp"	"p"	"/0"	"pa"	5.52836637047163	"dpâ"	"ṭpɑ"	"dpa2 22"
"â"	"a"	"/0"	"pa"	5.52836637047163	"dpâ"	"ṭpɑ"	"dpa2 22"
"dp"	"d"	"/0"	"d5"	9.52563226247437	"dpâ"	"ṭpɑ"	"dpa2 23"
"â"	":â"	"/0"	"d5"	9.52563226247437	"dpâ"	"ṭpɑ"	"dpa2 23"
"dp"	"d"	"/0"	"d5"	3.91797676008202	"dpâ"	"ṭpɑ"	"dpa2 14"
"â"	":â"	"/0"	"d5"	3.91797676008202	"dpâ"	"ṭpɑ"	"dpa2 14"
"dp"	"d"	"/0"	"d5"	8	"dpâ"	"ṭpɑ"	"dpa2 24"
"â"	":â"	"/0"	"d5"	8	"dpâ"	"ṭpɑ"	"dpa2 24"
"dp"	"tp"	"/0"	":a"	8.6015037593985	"dpâ"	"ṭpɑ"	"dpa2 19"
"â"	"a"	"/0"	":a"	8.6015037593985	"dpâ"	"ṭpɑ"	"dpa2 19"
"dp"	"ch"	"/9"	"te"	7.94258373205742	"dpê"	"ṭpə"	"dpe 41"
"ê"	"e"	"/9"	"te"	7.94258373205742	"dpê"	"ṭpə"	"dpe 41"
"dp"	"ch"	"/9"	"te"	5.79904306220096	"dpê"	"ṭpə"	"dpe 13"
"ê"	"e"	"/9"	"te"	5.79904306220096	"dpê"	"ṭpə"	"dpe 13"
"dp"	"tp"	"/9"	":e"	5.19480519480519	"dpê"	"ṭpə"	"dpe 3"
"ê"	"e"	"/9"	":e"	5.19480519480519	"dpê"	"ṭpə"	"dpe 3"
"dp"	"tp"	"/9"	":e"	8.51674641148325	"dpê"	"ṭpə"	"dpe 23"
"ê"	"e"	"/9"	":e"	8.51674641148325	"dpê"	"ṭpə"	"dpe 23"
"dp"	"d"	"/9"	"d5"	3.91797676008202	"dpê"	"ṭpə"	"dpe 34"
"ê"	":â"	"/9"	"d5"	3.91797676008202	"dpê"	"ṭpə"	"dpe 34"
"ê"	"a"	"/9"	"/a"	NA	"dpê"	"ṭpə"	"dpe 16"
"dp"	"d"	"/9"	"d9"	7.47505126452495	"dpê"	"ṭpə"	"dpe 22"
"dp"	"ch"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 37"
"ê"	"e"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 37"
"dp"	"tp"	"/9"	":a"	7.20710868079289	"dpê"	"ṭpə"	"dpe 2"
"ê"	"a"	"/9"	":a"	7.20710868079289	"dpê"	"ṭpə"	"dpe 2"
"dp"	"d"	"/9"	"d4"	3.91797676008202	"dpê"	"ṭpə"	"dpe 17"
"ê"	":ê"	"/9"	"d4"	3.91797676008202	"dpê"	"ṭpə"	"dpe 17"
"dp"	"d"	"/9"	"d9"	7.47505126452495	"dpê"	"ṭpə"	"dpe 33"
"dp"	"ch"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 11"
"ê"	"e"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 11"
"dp"	"ch"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 14"
"ê"	"e"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 14"
"dp"	"d"	"/9"	"d4"	3.91797676008202	"dpê"	"ṭpə"	"dpe 21"
"ê"	":ê"	"/9"	"d4"	3.91797676008202	"dpê"	"ṭpə"	"dpe 21"
"dp"	"ch"	"/9"	"te"	7.47505126452495	"dpê"	"ṭpə"	"dpe 27"
"ê"	"e"	"/9"	"te"	7.47505126452495	"dpê"	"ṭpə"	"dpe 27"
"dp"	"d"	"/9"	"d5"	7.25358851674641	"dpê"	"ṭpə"	"dpe 1"
"ê"	":â"	"/9"	"d5"	7.25358851674641	"dpê"	"ṭpə"	"dpe 1"
"dp"	"tp"	"/9"	":7"	8.03280929596719	"dpê"	"ṭpə"	"dpe 25"
"ê"	":o"	"/9"	":7"	8.03280929596719	"dpê"	"ṭpə"	"dpe 25"
"dp"	"tp"	"/9"	":a"	7.20710868079289	"dpê"	"ṭpə"	"dpe 9"
"ê"	"a"	"/9"	":a"	7.20710868079289	"dpê"	"ṭpə"	"dpe 9"
"dp"	"tp"	"/9"	":e"	7.12781954887218	"dpê"	"ṭpə"	"dpe 10"
"ê"	"e"	"/9"	":e"	7.12781954887218	"dpê"	"ṭpə"	"dpe 10"
"dp"	"ch"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 32"
"ê"	"e"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 32"
"dp"	"ch"	"/9"	"te"	5.24128503075871	"dpê"	"ṭpə"	"dpe 12"
